Title,Artist,Album,Location,Duration,Persistent ID
Whole Wide World,A'me Lorain,1990 Top 100,,232.75,2A48ECBA95537F60
Work - Navic Hard Bootleg (Dirty),A$AP Ferg,,,180.82,118AE72EB12FA88B
Back And Forth (Remix),Aaliyah,,,224.65,AA1435DC23E61113
If Your Girl Only Knew,Aaliyah,,,290.98,892D789DC2AD9AC0
At Your Best (You Are Love),Aaliyah,,,291.60,0BF93A9FCDC28763
I Miss You,Aaron Hall,,,381.75,9C3AD17B806076E7
Everybody Plays The Fool,Aaron Neville,,,266.06,228196FE1E50D0AD
Highway to Hell,ACDC,?,,208.14,3087EE61C0A0B168
The Sign,Ace of Base,,,189.88,23F8AF6779031BB4
All That She Wants,Ace Of Base,,,211.90,8D2D248374171B8C
Don't Turn Around,Ace Of Base,,,231.63,D4054C5B0EF8F6AB
All That She Wants,Ace Of Base,,,211.90,9E6D2A79E30B8329
Beautiful Life,Ace Of Base,,,219.87,91E94A7A1F9373D0
Whataya You Want From Me,Adam Lamber,Electro House (31.01.2010),,226.61,080DD1D15F967EB5
Freak Like Me,Adina Howard,,,268.23,BE7AF720B7E126F5
What It Takes,Aerosmith,1990 Top 100,,310.49,21A3F3E1DFD4BE73
Janie's Got A Gun,Aerosmith,,,330.58,F63C58108C6B120A
Crazy,Aerosmith,,,315.64,63B5FAFECECB0C61
Amazing,Aerosmith,,,356.49,7F32F59FDF4D35E2
Livin' On The Edge,Aerosmith,,,367.10,305F5D7D67D18284
Musician (Gamble Remix),Afrojack,URBANMUSiCDAiLY.NET,,341.37,828F73C05393EEE8
'Till U Do Me Right,After 7,Billboard Hits - 1995 - Disk 5,,291.97,A87A4C5DAB6B90F1
Ready Or Not,After 7,1990 Top 100,,272.20,020A42F0B6F0090D
Can't Stop,After 7,1990 Top 100,,240.20,39CAE32058B72E6D
Back In The Day,Ahmad,,,307.04,2B782308219C40E8
Boomerang (Prod. by DJ Felli Fel),Akon feat. Pitbull & Jermaine Dupri,,,197.25,A5AF338F148D5D64
Ironic,Alanis Morisette,,,227.94,9EA78D728975818F
You Learn,Alanis Morissette,,,239.86,26F43DF23D3C6DC7
You Oughta Know,Alanis Morissette,,,246.80,83EF0D11CEAE06D7
