Title,Artist,Album,Status,Match Path
Whole Wide World,A'me Lorain,1990 Top 100,NOT_FOUND,
Work - Navic Hard Bootleg (Dirty),A$AP Ferg,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/A$AP Ferg - Work - Navic Hard Bootleg (Dirty).mp3
Back And Forth (Remix),Aaliyah,,NOT_FOUND,
If Your Girl Only Knew,Aaliyah,,NOT_FOUND,
At Your Best (You Are Love),Aaliyah,,NOT_FOUND,
I Miss You,Aaron Hall,,NOT_FOUND,
Everybody Plays The Fool,Aaron Neville,,NOT_FOUND,
Highway to Hell,ACDC,?,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/The Best Of 80's Hits/AC-DC - Highway To Hell.mp3
The Sign,Ace of Base,,NOT_FOUND,
All That She Wants,Ace Of Base,,NOT_FOUND,
Don't Turn Around,Ace Of Base,,NOT_FOUND,
All That She Wants,Ace Of Base,,NOT_FOUND,
Beautiful Life,Ace Of Base,,NOT_FOUND,
Whataya You Want From Me,Adam Lamber,Electro House (31.01.2010),MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Whataya You Want From Me.mp3
Freak Like Me,Adina Howard,,NOT_FOUND,
What It Takes,Aerosmith,1990 Top 100,NOT_FOUND,
Janie's Got A Gun,Aerosmith,,NOT_FOUND,
Crazy,Aerosmith,,NOT_FOUND,
Amazing,Aerosmith,,NOT_FOUND,
Livin' On The Edge,Aerosmith,,NOT_FOUND,
Musician (Gamble Remix),Afrojack,URBANMUSiCDAiLY.NET,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Afrojack - Musician (Gamble Remix).mp3
'Till U Do Me Right,After 7,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Ready Or Not,After 7,1990 Top 100,NOT_FOUND,
Can't Stop,After 7,1990 Top 100,NOT_FOUND,
Back In The Day,Ahmad,,NOT_FOUND,
Boomerang (Prod. by DJ Felli Fel),Akon feat. Pitbull & Jermaine Dupri,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Boomerang (Prod. by DJ Felli Fel) - Akon feat. Pitbull &amp; Jermaine Dupri.mp3
Ironic,Alanis Morisette,,NOT_FOUND,
You Learn,Alanis Morissette,,NOT_FOUND,
You Oughta Know,Alanis Morissette,,NOT_FOUND,
Black Velvet,Alannah Myles,1990 Top 100,NOT_FOUND,
REMEDY (Intro),Alesso,,NOT_FOUND,
Years,Alesso feat Matthew Koma -,Clubland Vol. 2,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/MC Mario/Clubland Vol.2/MC Mario - Clubland Vol. 2 - 01 - Alesso feat Matthew Koma - Years.mp3
On Leur A Fait Croire (Dj Smoke Overdub Club Mix),Alex Nevsky,,NOT_FOUND,
Mr. Saxobeat,Alexandra Stan,,MULTIPLE_MATCHES,
Better Off Runaway Alone U & I Working Otis Hard (SoundMan Club Hitter),Alice Deejay vs. Galantis,,NOT_FOUND,
Roll It Gal Vs. Wine & Kotch (Moneykey Mashup),Alison Hinds,,NOT_FOUND,
I Swear,All-4-One,,NOT_FOUND,
I Can Love You Like That,All-4-One,,NOT_FOUND,
So Much In Love,All-4-One,,NOT_FOUND,
All Cried Out,Allure Featuring 112,,NOT_FOUND,
This Is Your Night,Amber,,NOT_FOUND,
Good For Me,Amy Grant,Heart in Motion,NOT_FOUND,
Thats What Love Is For,Amy Grant,Heart in Motion,NOT_FOUND,
I Will Remember You,Amy Grant,Heart in Motion,NOT_FOUND,
Baby Baby,Amy Grant,1991 Top 100,NOT_FOUND,
Every Heartbeat,Amy Grant,1991 Top 100,NOT_FOUND,
No More 'I Love You's',Annie Lennox,,NOT_FOUND,
Iesha,Another Bad Creation,1991 Top 100,NOT_FOUND,
Intro You (3LAU Remix) [DJ Moneykey Club Edit],Ariana Grande,,NOT_FOUND,
Another You (feat. Mr. Probz)  (Extended ),Armin van Buuren,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Armin_van_Buuren_ft._Mr._Probz-Another_You-Extended_-128.mp3
Another You (feat. Mr. Probz)  (Mark Sixma Radio Edit ),Armin van Buuren,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Armin_van_Buuren_ft._Mr._Probz-Another_You-Mark_Sixma_Radio_Edit_-128.mp3
Ping Pong Tremor,Armin Van Buuren Vs. Martin Garrix & Dimitri Vegas & Like Mike,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Ping Pong Tremor (Deviz Bang & Edshock Edit).mp3
Tennessee,Arrested Development,Living in the 90'S -- Disk 1,NOT_FOUND,
Mr. Wendal,Arrested Development,,NOT_FOUND,
Masterpiece,Atlantic Starr,1992 Top 100,NOT_FOUND,
Wake Me Up (Merengue Remix),Avicii,,NOT_FOUND,
Sun Is Shining (Album Version),Axwell /\ Ingrosso,,NOT_FOUND,
Together (Julien Creance WMC Remix),Axwell & Ingrosso,www.livingelectro.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Axwell & Ingrosso - Together (Julien Creance WMC Remix).mp3
Sugar Hill,AZ The Visualiza,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Last Night (From Nutty Professor Soundtrack),Az Yet,,NOT_FOUND,
Hard To Say I'm Sorry,Az Yet With Peter Cetera,,NOT_FOUND,
Roam,B-52's,,NOT_FOUND,
Nothing On You,B.o.B Feat. Bruno Mars,RNBXCLUSIVE 2009,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Nothing On You.mp3
Beast Mode (DJ Kue Remix),B.o.B.,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Beast Mode (DJ Kue Remix).mp3
